amplitude,statistic,p_value,n,significant
0.2774,27402.0,0.0001025786378434056,377,True
0.5397,29207.0,0.002430090188785547,377,True
0.8021,28951.0,0.001617007040178689,377,True
1.0645,33343.0,0.2808146288124562,377,False
1.3268,31239.0,0.03824633523318786,377,False
1.5892,34762.0,0.6830526196163509,377,False
1.8516,33149.0,0.24195394863879305,377,False
2.1139,27012.0,4.729522486681722e-05,377,True
2.3763,31037.0,0.030188448917440127,377,True
2.6387,29702.0,0.005140005019897806,377,True
2.9011,29912.0,0.006955996655550939,377,True
3.1634,29548.0,0.004093569780704788,377,True
3.4258,31810.0,0.07146314519193449,377,False
3.6882,30667.0,0.01916227103858682,377,True
3.9505,30760.0,0.021537021923644796,377,True
4.2129,32114.0,0.09712694104477501,377,False
4.4753,24249.0,7.71954491705126e-08,377,True
4.7376,28946.0,0.0016039752369555666,377,True
5.0,20405.0,6.523167605651458e-13,377,True
